State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.93075	0.93075	0.93730	0.94876	0.95981	0.96227	0.96636	0.96759	0.96554	0.95817	0.94344	0.93484	0.93075	0.91520	0.89473	0.88900	0.88532	0.87222	0.86199	0.85257	0.86076
2	0.65389	0.65445	0.65561	0.65632	0.65541	0.65277	0.65151	0.65343	0.65435	0.65997	0.67012	0.67869	0.68837	0.69435	0.70196	0.70784	0.71433	0.72194	0.72959	0.73760	0.74298
3	0.56920	0.56556	0.56264	0.55390	0.57139	0.58597	0.60419	0.62314	0.64281	0.64136	0.64427	0.64937	0.65885	0.67853	0.70768	0.74120	0.75359	0.78056	0.79587	0.79732	0.81700
4	2.72350	2.74319	2.69725	2.73662	2.67756	2.67756	2.59224	2.53974	2.49380	2.45443	2.29036	2.29036	2.30349	2.29693	2.19192	2.18536	2.26411	2.18536	2.15911	2.12630	2.13286
5	3.45111	3.45614	3.46269	3.46873	3.46571	3.48584	3.48332	3.45161	3.40933	3.36101	3.35446	3.31419	3.26687	3.21553	3.15764	3.08616	2.99707	2.92660	2.87022	2.80830	2.74589
6	1.44085	1.45662	1.45662	1.42845	1.39353	1.34509	1.29890	1.27862	1.25159	1.22906	1.19301	1.17611	1.17724	1.15696	1.15696	1.11077	1.10964	1.10063	1.09838	1.09950	1.07585
7	1.94684	1.93380	1.89140	1.82944	1.82618	1.86532	1.97619	1.98597	2.03815	2.00880	1.91097	1.82618	1.74140	1.66639	1.62074	1.60443	1.55878	1.53921	1.47725	1.50660	1.54899
8	1.47371	1.49550	1.56242	1.58420	1.66980	1.68536	1.70714	1.73982	1.80363	1.87988	1.91567	1.90167	1.88766	1.89389	1.93902	1.90322	1.93902	1.95925	1.98881	2.00593	2.06818
9	1.43927	1.34169	1.33820	1.48457	1.40790	1.44275	1.50548	1.61351	1.68669	1.78427	1.77382	1.77730	1.65533	1.65881	1.57518	1.67624	1.82958	1.82261	1.80867	1.81564	1.69018
10	1.64409	1.55338	1.47401	1.50236	1.48535	1.51370	1.62141	1.75748	2.09763	2.31874	2.23937	2.19968	2.14866	2.22803	2.16000	2.25637	2.13732	2.27905	2.09763	2.02393	2.01826
11	4.00426	4.05765	3.96689	3.83341	3.55044	3.46502	3.41697	3.08061	2.99519	2.69620	2.56807	2.60544	2.85637	2.85103	3.03256	3.05392	3.00053	2.93112	2.97383	3.00053	3.14468
12	3.03798	2.94154	3.03798	2.86920	3.47198	3.06209	3.01387	3.30320	2.77276	2.74865	3.01387	2.94154	2.82098	2.98976	3.06209	3.18265	2.94154	3.18265	3.44787	3.54431	3.03798
13	3.67732	3.64589	3.55160	3.52017	3.56732	3.59351	3.45207	3.50969	3.41540	3.38921	3.38921	3.28968	3.06967	2.97014	2.80775	2.75013	2.88633	2.81299	2.78156	2.66108	2.51441
14	2.71383	2.54351	2.20286	2.16880	2.27099	2.23693	2.04389	2.10067	1.86221	1.64647	1.29446	1.28311	1.05601	1.28311	1.36259	1.40801	1.36259	1.32853	1.22633	1.26040	1.39666
15	0.70922	0.76683	0.78483	0.69842	0.67682	0.75962	0.82803	0.74882	0.79923	0.81723	0.70922	0.69842	0.68402	0.72362	0.72002	0.77763	0.76323	0.74522	0.75602	0.72722	0.67322
