State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.26552	1.28323	1.29623	1.27203	1.24565	1.18749	1.10259	0.99638	0.87246	0.80744	0.76842	0.76372	0.81719	0.89631	0.99349	1.08742	1.14956	1.17918	1.20302	1.19544	1.19399
2	0.74096	0.72077	0.69593	0.65758	0.60723	0.54466	0.47547	0.41228	0.37491	0.35392	0.34586	0.34846	0.36336	0.38050	0.40243	0.42866	0.45927	0.48720	0.50890	0.52582	0.54055
3	0.68574	0.67159	0.64843	0.61691	0.57253	0.52492	0.47282	0.42393	0.38340	0.37439	0.36410	0.36410	0.36410	0.38469	0.40141	0.41878	0.44065	0.44451	0.45931	0.46896	0.47475
4	1.06582	0.99052	0.92101	0.86308	0.87467	0.77040	0.70089	0.59663	0.55029	0.57346	0.59084	0.56187	0.56767	0.61401	0.71248	0.82833	1.06582	1.29173	1.50026	1.74934	1.86519
5	0.84106	0.77130	0.71355	0.64912	0.57581	0.52472	0.47762	0.44208	0.42964	0.41764	0.41275	0.42120	0.43586	0.44741	0.46563	0.50961	0.57981	0.70466	0.84106	0.98990	1.11297
6	1.34733	1.15542	0.94263	0.73681	0.61052	0.52402	0.47629	0.46237	0.44348	0.45143	0.43552	0.45242	0.47529	0.49319	0.52203	0.56479	0.73382	1.19619	1.82362	2.52463	3.20973
7	2.96758	2.91289	2.53295	2.11559	1.64354	1.10241	0.95849	0.83760	0.77428	0.76564	0.80306	0.79730	0.80306	0.86638	0.96137	1.40752	2.89850	4.96804	6.59431	7.54129	7.67657
8	2.84879	2.99988	3.03972	3.04246	2.95593	2.61666	2.09195	1.59884	1.13045	0.96974	0.90656	0.91068	0.93266	1.02331	1.13594	1.33923	1.54390	1.77603	1.94773	2.04662	1.98756
9	2.61148	2.74990	3.00828	3.32818	3.54349	4.02949	3.77726	2.91907	2.07011	1.66101	1.47953	1.17194	1.21808	1.28267	1.43647	1.94400	2.39001	2.22699	1.95938	1.78405	1.66716
10	3.49779	3.90311	4.59866	5.90470	8.06642	10.82862	14.80679	17.25874	15.46732	8.22655	3.91812	3.91312	4.61367	5.75458	6.55022	5.99978	4.39350	3.32765	2.72217	2.27681	1.95656
11	4.33548	5.03292	5.91416	7.75202	10.71617	16.10724	25.12691	37.19556	50.06062	56.98324	61.14907	69.60796	65.26777	53.74577	36.59236	21.86588	13.02057	8.14787	5.46176	3.93963	2.95001
12	4.59681	5.66088	7.57622	11.04510	15.30141	17.36571	18.85542	18.28082	18.96182	41.11588	53.13993	16.25907	14.10964	15.53550	18.21697	20.40897	18.79157	14.83321	9.59796	6.42702	4.66065
13	6.75511	8.04973	9.82520	11.25390	11.94744	11.45271	8.42886	5.44200	3.74513	3.07471	2.89439	3.56019	5.72405	12.47916	24.20929	33.12826	35.47244	32.18966	27.36260	22.21188	18.40202
14	2.75617	3.20718	3.83859	4.87090	6.64487	9.82199	13.97127	18.31099	19.61391	19.94465	18.20074	17.12834	16.74749	16.37666	14.23186	11.41555	8.40882	6.69499	5.16155	4.14929	3.26731
15	1.60153	1.75088	1.96378	2.43407	2.83446	3.23802	3.24755	2.49445	1.75724	1.69368	1.83668	1.59835	1.22021	1.00096	0.98507	0.92469	0.91198	0.85479	0.80077	0.72768	0.67366
