State (Emission order)	H3k27me3	H2az	H3k04me2	H3k04me3	H3k27ac	H3k09ac	H3k04me1	H3k79me2	H3k36me3	H3k09me3
1	0.39702717682850325	0.008881314365935861	0.0011103068771470658	5.10560381244761E-5	1.0739649536766511E-4	3.3604391587740924E-5	0.0023770250176574684	8.387399963615254E-5	3.6780862128715786E-4	0.014321234025833884
2	0.0048940484363882595	0.0036927225032282202	2.2752169425087365E-5	1.3116331589121808E-5	8.417710136648693E-5	3.016037518645865E-5	8.574787790622114E-4	1.7637130988424487E-4	9.000046116606761E-4	0.005152539945615935
3	0.005710770789260427	0.00549714283438055	9.653555306382028E-5	1.974149925491449E-4	6.910576836021701E-5	3.503845159969051E-5	5.99269199677353E-4	2.1795592916141083E-4	0.007643198117783256	0.30461871880835
4	7.600074024739378E-4	0.023762454961695857	0.002631204103076893	0.01862087529351526	0.0023012122663505735	0.00498617309576373	0.02573602351638779	0.2188233566379054	0.6326852983578548	0.785263169868796
5	3.877295908456563E-5	2.7945058402328083E-5	7.299831527333792E-5	1.1624521047740655E-5	6.550536504386647E-4	3.2940405642148656E-4	0.010013806396994084	0.03427191241045107	0.20908883163269334	0.002410208000122988
6	7.249845848440395E-5	2.9937013330871605E-5	9.399191484599863E-4	4.283011724883843E-5	0.0010766445266526263	5.823129740177114E-4	0.06348148599053384	0.6671378713213032	0.208615538354185	0.008777474902399794
7	1.184235583034639E-4	0.0010069868091797008	0.2963639586633286	0.03761096422942308	0.09821738146837702	0.11133798501313197	0.8447014675229164	0.8660433124703517	0.2777193259596139	0.011564526207723828
8	7.182253176270584E-4	0.010775737692700333	0.021002615569426893	5.5442215248301844E-24	0.011484696885029472	0.006772871559493569	0.462730195664622	0.01380149927831259	0.023898045428087968	0.0066539746168309336
9	5.066187939354453E-4	0.38086148148231824	0.5858163550536137	0.1048426346429873	0.23895673411386473	0.3038218240632376	0.9492504790852744	0.017688121905416337	0.03178890058318127	0.02005188951602203
10	0.00312112779411798	0.7850230133112287	0.9987297109585224	0.8042652246901774	0.8760952233802777	0.9582488782180707	0.9363846418405619	0.041255519795043535	0.008972042105217445	0.004723258706131949
11	0.013783276303298694	0.8723104685008541	0.8471687141177462	1.0	0.9959843930816933	0.9927220210677319	0.037958951067408396	0.29050944286293184	0.003561920440268956	0.004936408312039293
12	5.586744014628196E-4	0.0974244103252741	0.4430706833318249	0.37097139902173193	0.3368325923282563	0.2194159813646908	0.03356950883291118	0.029093377345478094	0.0037271057139420757	0.008243948022616585
13	3.210135979195585E-4	0.07444307664544617	0.9875020127029155	0.8245949869107799	0.8335607731855947	0.9137616472760458	0.7621534429700936	0.9428823821331411	0.23473385989693726	0.008280648312799059
14	0.32605741578901026	0.688398094223134	0.9389749583269829	0.5960059720658897	0.14050627850075315	0.13172024144443348	0.3144274060304651	4.0450230242879766E-4	0.0025787117389231896	0.03068320969958547
15	0.017595847721724112	0.532209653335124	0.08859731413103514	0.0035634861649189954	0.005988801500853669	0.005555647634895156	0.2433420097332968	4.137905649461849E-5	0.0015912384841577636	0.022844795002002746
