15	10	E	-9710645.990288706	106
probinit	1	4.212310656329268E-206
probinit	2	1.0
probinit	3	7.16778606364689E-153
probinit	4	0.0
probinit	5	1.8579316661606812E-242
probinit	6	0.0
probinit	7	0.0
probinit	8	3.1701824838670323E-181
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	2.4092248730325793E-159
transitionprobs	1	1	0.9605561786477027
transitionprobs	1	2	0.03339936167387139
transitionprobs	1	3	0.001422097776744749
transitionprobs	1	4	0.0
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	2.675458869576012E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	1.437241072756104E-5
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.004060345950390814
transitionprobs	1	15	5.208889518669459E-4
transitionprobs	2	1	0.004375687723253646
transitionprobs	2	2	0.9766427288625213
transitionprobs	2	3	0.005568150683036561
transitionprobs	2	4	0.0
transitionprobs	2	5	5.103678409063713E-4
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0040836710168848525
transitionprobs	2	9	3.6548630521232074E-4
transitionprobs	2	10	8.870034890675746E-5
transitionprobs	2	11	3.809193157398188E-5
transitionprobs	2	12	3.4447111324815586E-4
transitionprobs	2	13	1.274508746459202E-6
transitionprobs	2	14	2.9423106094876036E-4
transitionprobs	2	15	0.00768713860476099
transitionprobs	3	1	0.002219147790395798
transitionprobs	3	2	0.06851953836839977
transitionprobs	3	3	0.9211302656975113
transitionprobs	3	4	0.004759047982004929
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0011213125314278407
transitionprobs	3	9	5.394128887096514E-4
transitionprobs	3	10	1.1038715202725956E-5
transitionprobs	3	11	3.250039643267953E-5
transitionprobs	3	12	1.9248184340548257E-4
transitionprobs	3	13	0.0
transitionprobs	3	14	4.983311441579167E-4
transitionprobs	3	15	9.769226423518172E-4
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	0.0483055958755569
transitionprobs	4	4	0.8484500826878316
transitionprobs	4	5	0.07350516384438326
transitionprobs	4	6	0.0181405808115438
transitionprobs	4	7	0.002021032151803074
transitionprobs	4	8	0.004120481660727734
transitionprobs	4	9	0.0034364847066043432
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	7.950603566717772E-4
transitionprobs	4	13	7.164357462978684E-4
transitionprobs	4	14	5.090821585795744E-4
transitionprobs	4	15	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0050065643132610575
transitionprobs	5	3	0.0
transitionprobs	5	4	0.005975906242983935
transitionprobs	5	5	0.9663691855825045
transitionprobs	5	6	0.010006333067840061
transitionprobs	5	7	0.0015699974479708504
transitionprobs	5	8	0.010314884980592137
transitionprobs	5	9	1.014678995930848E-4
transitionprobs	5	10	0.0
transitionprobs	5	11	6.838712594936991E-8
transitionprobs	5	12	4.915501259937129E-4
transitionprobs	5	13	1.640419521342066E-4
transitionprobs	5	14	0.0
transitionprobs	5	15	0.0
transitionprobs	6	1	9.337930767986706E-6
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0033242285215791968
transitionprobs	6	5	0.022579472946032415
transitionprobs	6	6	0.9226405480601259
transitionprobs	6	7	0.049307998046442356
transitionprobs	6	8	1.799371279646154E-4
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	3.066285612348981E-6
transitionprobs	6	12	2.4683364396428794E-4
transitionprobs	6	13	0.001708577437510896
transitionprobs	6	14	0.0
transitionprobs	6	15	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	9.689664438081995E-4
